Category,Name,Price,Colors,Image,Product Link
Men,Regular Fit Oxford Shirt,$ 24.99,"Light blue/striped, Sage green, Light blue, White, Black, Light beige, Navy blue",https://image.hm.com/assets/hm/c9/26/c92625aedc645d29baa1aff90cacb773e3bdea99.jpg,https://www2.hm.com/en_us/productpage.1257417006.html
Men,Loose Fit Washed Hoodie,$ 39.99,"Black, Dark brown, Light beige",https://image.hm.com/assets/hm/5f/27/5f27083867086f4bdaa18522900def68a8ae3243.jpg,https://www2.hm.com/en_us/productpage.1241059001.html
Men,Slim-Fit Cotton Chinos,$ 29.99,"Black, Cream, Beige, Beige, Navy blue, Dark gray",https://image.hm.com/assets/hm/cc/10/cc109004e5c65785da8f95e14e5d2b24a81b2092.jpg,https://www2.hm.com/en_us/productpage.1248348001.html
Men,Regular Fit Oxford Shirt,$ 24.99,"Sage green, Light blue/striped, Light blue, White, Black, Light beige, Navy blue",https://image.hm.com/assets/hm/68/57/68574ee51428689db0936e61f16faf3535b96422.jpg,https://www2.hm.com/en_us/productpage.1257417008.html
Men,Regular Fit Oxford Shirt,$ 24.99,"Light blue, Light blue/striped, Sage green, White, Black, Light beige, Navy blue",https://image.hm.com/assets/hm/29/f3/29f3f2cf9139e6d107a8f926ab4ecf8cb5be93e1.jpg,https://www2.hm.com/en_us/productpage.1257417002.html
Men,Regular Fit Oxford Shirt,$ 24.99,"White, Light blue/striped, Sage green, Light blue, Black, Light beige, Navy blue",https://image.hm.com/assets/hm/aa/8f/aa8feb22d0472f8a7b4f726e5a00574890920512.jpg,https://www2.hm.com/en_us/productpage.1257417001.html
Men,Regular Fit Oxford Shirt,$ 24.99,"Black, Light blue/striped, Sage green, Light blue, White, Light beige, Navy blue",https://image.hm.com/assets/hm/58/83/5883e8fe3c0d27f6b4b2aafc7f589c0a54b38696.jpg,https://www2.hm.com/en_us/productpage.1257417004.html
Men,Slim-Fit Cotton Chinos,$ 29.99,"Beige, Cream, Black, Beige, Navy blue, Dark gray",https://image.hm.com/assets/hm/e9/f4/e9f45400532211112149cd991e6e1b59f978bb80.jpg,https://www2.hm.com/en_us/productpage.1248348002.html
Men,Loose-Fit Jersey Resort Shirt,$ 34.99,"Apricot pink, Dark brown",https://image.hm.com/assets/hm/f8/a2/f8a2a21594b3e2f578b1265c20c73360fd27b318.jpg,https://www2.hm.com/en_us/productpage.1291558002.html
Men,Loose-Fit Jersey Resort Shirt,$ 34.99,"Dark brown, Apricot pink",https://image.hm.com/assets/hm/47/21/47216e409495304713a139bbb9290c7c45df6e31.jpg,https://www2.hm.com/en_us/productpage.1291558001.html
Men,Relaxed-Fit Pants,$ 44.99,"Dark brown, Khaki green, Light beige",https://image.hm.com/assets/hm/c9/3d/c93dd20b764626e096732aa011d5f2872ab64760.jpg,https://www2.hm.com/en_us/productpage.1281430001.html
